Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Flow ID,Src IP,Src Port,Dst IP
80,17,21/02/2018 10:17:07,119953143,132773,0,4248736,0,32,32,32.0,0.0,0,0,0.0,0.0,35419.96394,1106.873873,903.4521059,18044.56106,576141,0,120000000,903.4521059,18044.56106,576141,0,0,0.0,0.0,0,0,0,0,0,0,1062184,0,1106.873873,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32.00024101,32.0,0.0,0,0,0,0,0,0,132773,4248736,0,0,-1,-1,132772,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP,,,,
80,6,20/02/2018 10:31:55,1067006,3,4,20.0,964.0,20.0,0.0,6.666666667,11.54700538,964.0,0.0,241.0,482.0,922.206623,6.560412969,177834.3333,435368.744,1066527.0,6.0,453.0,226.5,277.892965,423.0,30.0,1067000.0,355666.6667,615623.1471,1066527.0,15.0,0,0,0,0,72,92,2.811605558,3.748807411,0.0,964.0,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1.0,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS attacks-LOIC-HTTP,172.31.69.25-18.216.24.42-80-59129-6,18.216.24.42,59129.0,172.31.69.25
80,17,21/02/2018 10:33:00,119931866,113313,0,3626016,0,32,32,32.0,0.0,0,0,0.0,0.0,30233.96634,944.8114482,1058.421579,20271.13595,633724,0,120000000,1058.421579,20271.13595,633724,0,0,0.0,0.0,0,0,0,0,0,0,906504,0,944.8114482,0.0,32,32,32.0,0.0,0.0,0,0,0,0,0,0,0,0,0,32.0002824,32.0,0.0,0,0,0,0,0,0,113313,3626016,0,0,-1,-1,113312,8,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-LOIC-UDP,,,,
8080,6,02/03/2018 11:33:44,441,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4535.147392,441.0,0.0,441.0,441.0,441.0,441.0,0.0,441.0,441.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,4535.147392,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot,,,,
80,6,15/02/2018 09:50:48,5012003,4,4,397,972,397,0,99.25,198.5,972,0,243.0,486.0,273.1442898179,1.5961682385,716000.428571429,1890229.49360467,5002632,5,9371,3123.6666666667,4995.2819072935,8891,161,5011998,1670666.0,2885794.37473029,5002891,481,0,0,0,0,136,136,0.7980841193,0.7980841193,0,972,152.1111111111,334.3188763907,111769.111111111,0,0,0,1,0,0,0,0,1,171.125,99.25,243.0,0,0,0,0,0,0,4,397,4,972,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-GoldenEye,,,,
443,6,02/03/2018 08:58:03,148686,9,7,512,4473.0,194,0,56.88888889,83.48269947,1430,0,639.0,695.7693583,33527.03012,107.6093243,9912.4,18987.15316,74604.0,1.0,148686.0,18585.75,23726.81558,74604.0,17.0,121131.0,20188.5,33814.73354,85778.0,1.0,0,0,0,0,192,152,60.53024495,47.0790794,0,1430,293.2352941,523.5647679,274120.0662,0,0,1,1,0,0,0,1,0,311.5625,56.88888889,639.0,0,0,0,0,0,0,9,512,7,4473,8192,172,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,,,,
53,17,02/03/2018 08:54:10,12430,1,1,76,158.0,76,76,76.0,0.0,158,158,158.0,0.0,18825.42237,160.9010459,12430.0,0.0,12430.0,12430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,80.45052293,80.45052293,76,158,103.3333333,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,155.0,76.0,158.0,0,0,0,0,0,0,1,76,1,158,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,,,,
80,6,16/02/2018 01:45:28,24323,3,4,308,935,308,0,102.6666667,177.8238829,935,0,233.75,467.5,51103.89343,287.7934465,4053.833333,6234.827838,13567,4,13862,6931.0,9384.7212,13567,295,24303,8101.0,7199.318093,13846,25,0,0,0,0,104,136,123.3400485,164.453398,0,935,155.375,332.9431258,110851.125,0,0,0,1,0,0,0,0,1,177.5714286,102.6666667,233.75,0,0,0,0,0,0,3,308,4,935,26883,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS attacks-Hulk,,,,
8080,6,02/03/2018 03:34:11,503,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3976.143141,503.0,0.0,503.0,503.0,503.0,503.0,0.0,503.0,503.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,3976.143141,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2052,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot,,,,
21,6,14/02/2018 10:52:18,1,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,1000000.0,1000000.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,FTP-BruteForce,,,,
